2025-11-11T14:52:12.790Z [GET] / 200 6ms - ::1
2025-11-11T14:52:12.869Z [GET] /favicon.ico 404 1ms - ::1
2025-11-11T14:52:55.298Z [POST] /api/admin/login 200 159ms - ::1
2025-11-11T14:53:00.044Z [GET] /api/admin/getallfaculty 304 40ms - ::1
2025-11-11T14:53:00.077Z [GET] /api/admin/getallfaculty 304 29ms - ::1
2025-11-11T14:53:02.630Z [GET] /api/admin/getallfaculty 304 34ms - ::1
2025-11-11T14:53:02.664Z [GET] /api/admin/getallfaculty 304 29ms - ::1
2025-11-11T14:53:12.064Z [POST] /api/admin/login 200 163ms - ::1
2025-11-11T14:55:17.248Z [GET] /api/admin/getallfaculty 304 31ms - ::1
2025-11-11T14:55:17.280Z [GET] /api/admin/getallfaculty 304 29ms - ::1
2025-11-11T14:56:17.657Z [GET] /api/admin/getalldepartment 200 36ms - ::1
2025-11-11T14:56:17.688Z [GET] /api/admin/getalldepartment 304 27ms - ::1
2025-11-11T14:56:20.764Z [GET] /api/admin/getallsubject 304 34ms - ::1
2025-11-11T14:56:20.796Z [GET] /api/admin/getallsubject 304 28ms - ::1
2025-11-11T14:56:21.785Z [GET] /api/admin/getalldepartment 304 29ms - ::1
2025-11-11T14:56:21.817Z [GET] /api/admin/getalldepartment 304 29ms - ::1
2025-11-11T14:56:22.487Z [GET] /api/admin/getallsubject 304 26ms - ::1
2025-11-11T14:56:22.518Z [GET] /api/admin/getallsubject 304 27ms - ::1
2025-11-11T14:56:24.901Z [GET] /api/admin/subjects 404 1ms - ::1
2025-11-11T14:56:24.905Z [GET] /api/admin/subjects 404 1ms - ::1
2025-11-11T14:56:29.441Z [GET] /api/admin/getallsubject 304 33ms - ::1
2025-11-11T14:56:29.473Z [GET] /api/admin/getallsubject 304 27ms - ::1
2025-11-11T14:56:30.068Z [GET] /api/admin/getalldepartment 304 33ms - ::1
2025-11-11T14:56:30.098Z [GET] /api/admin/getalldepartment 304 26ms - ::1
2025-11-11T14:56:45.645Z [GET] /api/admin/getallsubject 304 32ms - ::1
2025-11-11T14:56:45.675Z [GET] /api/admin/getallsubject 304 27ms - ::1
2025-11-11T14:56:48.971Z [GET] /api/admin/getallsubject 304 32ms - ::1
2025-11-11T14:56:49.001Z [GET] /api/admin/getallsubject 304 27ms - ::1
2025-11-11T14:57:25.146Z [GET] /api/admin/getallfaculty 304 33ms - ::1
2025-11-11T14:57:25.177Z [GET] /api/admin/getallfaculty 304 27ms - ::1
2025-11-11T14:57:26.418Z [GET] /api/admin/getalldepartment 304 29ms - ::1
2025-11-11T14:57:26.464Z [GET] /api/admin/getalldepartment 304 43ms - ::1
2025-11-11T14:57:27.008Z [GET] /api/admin/getallfaculty 304 32ms - ::1
2025-11-11T14:57:27.039Z [GET] /api/admin/getallfaculty 304 27ms - ::1
2025-11-11T14:57:28.727Z [GET] /api/admin/getallfaculty 304 33ms - ::1
2025-11-11T14:57:28.758Z [GET] /api/admin/getallfaculty 304 28ms - ::1
2025-11-11T14:57:29.849Z [GET] /api/admin/getalldepartment 304 33ms - ::1
2025-11-11T14:57:29.879Z [GET] /api/admin/getalldepartment 304 27ms - ::1
2025-11-11T14:57:30.946Z [GET] /api/admin/getallfaculty 304 35ms - ::1
2025-11-11T14:57:30.979Z [GET] /api/admin/getallfaculty 304 28ms - ::1
2025-11-11T14:57:32.345Z [GET] /api/admin/getallsubject 304 33ms - ::1
2025-11-11T14:57:32.377Z [GET] /api/admin/getallsubject 304 28ms - ::1
